segment,day_name,week_idx,avg_exp
Lv.290~294,월,7,3525959457090.9165
Lv.290~294,월,8,3305160378886.1494
Lv.290~294,월,9,3637882157832.1064
Lv.290~294,월,10,5469660191390.693
Lv.290~294,월,11,3614421290842.2427
Lv.290~294,월,12,3928063879875.002
Lv.290~294,월,13,4456487340987.45
Lv.290~294,월,14,6102137773290.732
Lv.290~294,월,15,5557948991426.968
Lv.290~294,월,16,5694852594570.073
Lv.290~294,월,17,7442973262195.674
Lv.290~294,월,18,7711005312042.974
Lv.290~294,일,1,3210857300853.952
Lv.290~294,일,2,2826468348226.062
Lv.290~294,일,3,3952422865461.7954
Lv.290~294,일,4,2758927009861.1377
Lv.290~294,일,5,3723645135708.5874
Lv.290~294,일,6,3299710352485.832
Lv.290~294,일,7,8893488187547.77
Lv.290~294,일,8,8088693856711.667
Lv.290~294,일,9,5032821714344.58
Lv.290~294,일,10,11047250217028.219
Lv.290~294,일,11,5176582885327.593
Lv.290~294,일,12,6756733983827.563
Lv.290~294,일,13,11183651537670.61
Lv.290~294,일,14,10044737297075.744
Lv.290~294,일,15,6713504492248.661
Lv.290~294,일,16,8000417455892.294
Lv.290~294,일,17,8213635487518.226
Lv.290~294,일,18,12354548235733.436
Lv.290~294,토,1,2691887896872.3213
Lv.290~294,토,2,2713686624130.2314
Lv.290~294,토,3,2769914377581.2954
Lv.290~294,토,4,2588285920843.277
Lv.290~294,토,5,2775555930330.148
Lv.290~294,토,6,3173384425531.9805
Lv.290~294,토,7,4473177314972.009
Lv.290~294,토,8,4926243961948.105
Lv.290~294,토,9,4761824685204.1455
Lv.290~294,토,10,8566929219521.267
Lv.290~294,토,11,4403456584935.324
Lv.290~294,토,12,5454551550568.572
Lv.290~294,토,13,7138185327684.013
Lv.290~294,토,14,8753278639316.064
Lv.290~294,토,15,6891378511760.024
Lv.290~294,토,16,7318412610312.751
Lv.290~294,토,17,7839019085532.833
Lv.290~294,토,18,10369982488062.773
Lv.290~294,토,19,9460520237261.291
Lv.290~294,화,1,2144044807097.438
Lv.290~294,화,2,2234544155170.784
Lv.290~294,화,3,2318982019581.797
Lv.290~294,화,4,2406464031338.3096
Lv.290~294,화,5,2204146165869.1562
Lv.290~294,화,6,2628837631595.829
Lv.290~294,화,7,3508061182964.424
Lv.290~294,화,8,3198308065035.5845
Lv.290~294,화,9,3496310985407.817
Lv.290~294,화,10,5505280622119.597
Lv.290~294,화,11,3658141220184.147
Lv.290~294,화,12,3854384025249.556
Lv.290~294,화,13,4331338055672.641
Lv.290~294,화,14,6446511581750.417
Lv.290~294,화,15,5793220104083.952
Lv.290~294,화,16,5580860421649.504
Lv.290~294,화,17,6346792424644.193
Lv.290~294,화,18,7183197377958.291
Lv.295~299,금,1,5187751503976.373
Lv.295~299,금,2,4864311630603.234
Lv.295~299,금,3,4891257690124.687
Lv.295~299,금,4,4969739226685.938
Lv.295~299,금,5,4946571162157.166
Lv.295~299,금,6,5609132724212.51
Lv.295~299,금,7,5631806576122.604
Lv.295~299,금,8,6174363557241.686
Lv.295~299,금,9,7957300972270.34
Lv.295~299,금,10,15133398087457.588
Lv.295~299,금,11,6597181115271.753
Lv.295~299,금,12,7209056710078.593
Lv.295~299,금,13,9761439731463.736
Lv.295~299,금,14,11743136801569.732
Lv.295~299,금,15,12067620345650.857
Lv.295~299,금,16,13663470172019.273
Lv.295~299,금,17,14892475143997.934
Lv.295~299,금,18,13936484937572.111
Lv.295~299,목,1,5425348100735.153
Lv.295~299,목,2,5167752954815.903
Lv.295~299,목,3,5416185833368.769
Lv.295~299,목,4,5550793981422.533
Lv.295~299,목,5,5150802391620.439
Lv.295~299,목,6,5886895623398.528
Lv.295~299,목,7,7855389585678.722
Lv.295~299,목,8,8145511412959.6455
Lv.295~299,목,9,10522221702527.814
Lv.295~299,목,11,7676351506783.675
Lv.295~299,목,12,8293979541149.758
Lv.295~299,목,13,10717671023927.041
Lv.295~299,목,14,13986053082415.39
Lv.295~299,목,15,13640923001157.082
Lv.295~299,목,16,14460187521180.904
Lv.295~299,목,17,17025954460794.945
Lv.295~299,목,18,15598863096412.762
Lv.295~299,수,1,4950317785185.649
Lv.295~299,수,2,5034697095572.937
Lv.295~299,수,3,5117616117560.428
Lv.295~299,수,4,5249163650160.304
Lv.295~299,수,5,4879648565579.912
Lv.295~299,수,6,5297447692726.332
Lv.295~299,수,7,5852280475630.048
Lv.295~299,수,8,5741122226627.458
Lv.295~299,수,9,5714058940647.26
Lv.295~299,수,10,8990717110387.07
Lv.295~299,수,11,6659888994784.496
Lv.295~299,수,12,6299885066506.002
Lv.295~299,수,13,7650394479834.342
Lv.295~299,수,14,9625269942691.37
Lv.295~299,수,15,12322654405240.21
Lv.295~299,수,16,11796082008542.78
Lv.295~299,수,17,13456449936324.145
Lv.295~299,수,18,13467370499729.43
Lv.295~299,월,1,4747161134674.766
Lv.295~299,월,2,4666461718321.673
Lv.295~299,월,3,4798895770906.734
Lv.295~299,월,4,4839427733564.477
Lv.295~299,월,5,4743181285095.725
Lv.295~299,월,6,4760616725616.249
Lv.295~299,월,7,5540694855221.245
Lv.295~299,월,8,5134382512539.221
Lv.295~299,월,9,5328280205611.619
Lv.295~299,월,10,6645996263682.027
Lv.295~299,월,11,5545553046390.291
Lv.295~299,월,12,5965754775983.144
Lv.295~299,월,13,6137363947647.537
Lv.295~299,월,14,7738949013136.877
Lv.295~299,월,15,11125562894791.578
Lv.295~299,월,16,11232020512986.586
Lv.295~299,월,17,13369170253809.861
Lv.295~299,월,18,13674054107873.016
Lv.295~299,일,1,6255521617985.796
Lv.295~299,일,2,5629348184387.588
Lv.295~299,일,3,8506843880142.383
Lv.295~299,일,4,5592461279172.2705
Lv.295~299,일,5,6866648861319.977
Lv.295~299,일,6,5655397947521.589
Lv.295~299,일,7,12353689157170.436
Lv.295~299,일,8,11230983850698.701
Lv.295~299,일,9,6758322224179.685
Lv.295~299,일,10,12782051132380.895
Lv.295~299,일,11,7311415951027.979
Lv.295~299,일,12,8969110725842.295
Lv.295~299,일,13,15243282889896.766
Lv.295~299,일,14,12207464164434.107
Lv.295~299,일,15,12634062086722.297
Lv.295~299,일,16,14857431670093.254
Lv.295~299,일,17,15064034994132.459
Lv.295~299,일,18,18264307155925.438
Lv.295~299,토,1,5367918067027.669
Lv.295~299,토,2,5373024070758.004
Lv.295~299,토,3,5514627531190.994
Lv.295~299,토,4,5248363035772.787
Lv.295~299,토,5,5417000707295.565
Lv.295~299,토,6,5241720140783.213
Lv.295~299,토,7,6501543115238.331
Lv.295~299,토,8,6658395483057.378
Lv.295~299,토,9,6383709482521.165
Lv.295~299,토,10,9663184425629.621
