name,segment,job,world,world_group,tier,union_level,access_flag,character_age_days,event_flag,duration_days,trailing_inactive_days,first_active_date,last_active_date,active_day_count,active_day_ratio,avg_exp_on_active_days,pre_avg,post_avg
얌얌까지,Lv.285~289,마법사,크로아,루나크로아,2,9269.0,True,2376.0,0,125,0,2025-11-09,2026-03-15,115,0.9127,8898851278321.73,2305376233662.2573,10359117899217.803
얌쿠블래,Lv.290~294,레지스탕스,루나,루나크로아,2,10226.0,True,1869.0,0,121,0,2025-11-13,2026-03-15,44,0.3492,1202096604904.3865,217918741952.91428,497418622499.3516
얍혹,Lv.285~289,렌,스카니아,기타,3,8965.0,True,269.0,0,113,0,2025-11-21,2026-03-15,49,0.4298,12358386642104.408,75517973326.60869,6635428923918.726
양극재광부,Lv.285~289,카이저,크로아,루나크로아,3,9007.0,True,434.0,1,39,78,2025-11-17,2025-12-26,11,0.0873,497655337106.36365,10723047572.77143,56031890583.76923
양념꽁치구이,Lv.285~289,렌,스카니아,기타,3,8984.0,True,269.0,0,124,2,2025-11-10,2026-03-13,116,0.928,2521001171342.233,1902726544615.0881,2502675091854.791
양눙,Lv.290~294,기사단,루나,루나크로아,2,10020.0,True,911.0,1,113,12,2025-11-09,2026-03-03,98,0.7778,968897077614.5204,1139459986564.7144,605173781059.978
양뛰,Lv.295~299,도적,아케인,기타,1,9618.0,True,1975.0,0,125,0,2025-11-09,2026-03-15,49,0.3889,4164503365602.163,548977745685.3143,2031279602368.3516
양심님,Lv.285~289,아란,엘리시움,기타,3,9922.0,False,3776.0,0,125,6,2025-11-09,2026-03-09,31,0.246,614204520560.9354,1566097850.6857142,208632161677.08792
양씨가문전사,Lv.285~289,전사,오로라,기타,3,9165.0,True,1508.0,0,125,0,2025-11-09,2026-03-15,97,0.7698,4644253242087.649,699947849747.5143,4681257030124.6045
양약,Lv.285~289,팬텀,엘리시움,기타,3,9641.0,True,5190.0,0,125,0,2025-11-09,2026-03-15,78,0.619,1752718690222.9614,1677586638622.3713,857104675666.022
양정혁,Lv.285~289,마법사,오로라,기타,2,9096.0,True,3163.0,0,125,1,2025-11-09,2026-03-14,117,0.9286,5755226176953.889,3844893837091.3145,5920771191268.23
양파Rm,Lv.285~289,도적,스카니아,스카니아,3,9225.0,True,2592.0,1,118,7,2025-11-09,2026-03-08,58,0.4603,1802266324890.224,1774376129028.9714,466244860743.0659
양파냥냠8,Lv.290~294,아델,엘리시움,기타,2,9543.0,True,1806.0,0,125,4,2025-11-09,2026-03-11,89,0.7063,4040730530856.944,2135824343928.0286,3130452364931.725
양파쿵야아들,Lv.290~294,전사,크로아,루나크로아,2,9655.0,True,7676.0,0,125,0,2025-11-09,2026-03-15,98,0.7778,7221716334920.255,412749827794.8,7618483042300.736
양팡,Lv.285~289,마법사,크로아,루나크로아,3,9959.0,True,2213.0,0,124,0,2025-11-10,2026-03-15,78,0.619,177270902911.84616,269733720958.4,48202749380.0
얜랑매화,Lv.285~289,렌,오로라,기타,3,10291.0,True,269.0,0,119,1,2025-11-15,2026-03-14,74,0.6116,61797061537.10811,48010435010.46667,34424939598.15385
어그리,Lv.285~289,렌,스카니아,스카니아,3,9667.0,True,269.0,1,5,111,2025-11-18,2025-11-23,5,0.0427,373534237559.8,71833507223.03847,0.0
어동어스렌,Lv.285~289,렌,스카니아,스카니아,3,9536.0,True,269.0,0,125,0,2025-11-09,2026-03-15,114,0.9048,2726504671115.807,2012893535606.8286,2641431414955.637
어디괌,Lv.285~289,궁수,엘리시움,기타,2,9874.0,True,2627.0,0,122,2,2025-11-12,2026-03-13,73,0.5794,4455622570911.616,20734286.14285714,3574282659082.7803
어라초,Lv.285~289,칼리,엘리시움,기타,3,10465.0,True,269.0,0,115,0,2025-11-19,2026-03-15,41,0.3504,283066748513.14636,63383211886.15385,109426078901.0879
어리,Lv.295~299,아델,크로아,루나크로아,1,9594.0,True,2250.0,0,125,0,2025-11-09,2026-03-15,123,0.9762,10505781378314.44,3662693049400.8857,12791393986853.242
어린악마왕,Lv.285~289,레지스탕스,루나,루나크로아,2,8680.0,False,2824.0,0,125,2,2025-11-09,2026-03-13,90,0.7143,3242495804459.067,4481378340039.571,1483256928570.6704
어린우진,Lv.285~289,프렌즈 월드,스카니아,스카니아,3,9255.0,False,2479.0,1,94,31,2025-11-09,2026-02-12,21,0.1667,1647187921337.4285,498289243355.25714,188470580556.6154
어인,Lv.290~294,마법사,스카니아,스카니아,2,9428.0,True,1354.0,0,125,0,2025-11-09,2026-03-15,102,0.8095,2947523095424.853,1726717204291.0,2639695094320.3296
어허,Lv.290~294,도적,오로라,기타,1,10155.0,True,5134.0,0,125,1,2025-11-09,2026-03-14,110,0.873,11340060010768.064,3249777896780.2856,12457850272496.451
억씩,Lv.285~289,렌,스카니아,스카니아,2,8938.0,True,269.0,0,125,0,2025-11-09,2026-03-15,120,0.9524,5422855656524.333,2574591583266.2856,6160790916138.462
억울킹,Lv.285~289,초월자,엘리시움,기타,3,9308.0,False,3014.0,1,1,124,2025-11-10,2025-11-10,1,0.0079,204154351.0,5832981.457142857,0.0
언양히어로,Lv.285~289,전사,루나,루나크로아,3,9521.0,False,980.0,1,1,120,2025-11-14,2025-11-14,1,0.0079,2438047518853.0,69658500538.65715,0.0
얼냄,Lv.285~289,마법사,스카니아,스카니아,3,9563.0,True,633.0,1,117,8,2025-11-09,2026-03-07,20,0.1587,77878996885.7,44419184886.4,31961172.41758242
얼도룡,Lv.285~289,마법사,엘리시움,기타,3,9254.0,False,2142.0,1,95,27,2025-11-12,2026-02-16,12,0.0952,1037855755910.9166,237377231518.74286,45561164481.04395
얼듀레이블더,Lv.285~289,도적,엘리시움,기타,3,9393.0,True,1914.0,0,124,0,2025-11-10,2026-03-15,85,0.6746,1674902138571.5764,604532604367.8,1331956490392.4285
얼렁뚱땅썬콜,Lv.285~289,마법사,루나,루나크로아,3,9619.0,True,2787.0,0,125,0,2025-11-09,2026-03-15,109,0.8651,2710173666054.0186,1149119307120.5144,2804283009348.022
얼려먹구시퍼,Lv.285~289,렌,스카니아,기타,3,9026.0,True,269.0,0,114,1,2025-11-20,2026-03-14,100,0.8696,2353973927358.16,1426827976916.875,2210478255931.989
얼법규,Lv.285~289,마법사,크로아,루나크로아,3,9331.0,True,792.0,0,117,0,2025-11-17,2026-03-15,52,0.4333,5101290753758.462,805899027123.4138,2658198323174.297
얼어붙은용사,Lv.285~289,아란,스카니아,스카니아,3,10020.0,False,269.0,1,57,58,2025-11-19,2026-01-15,4,0.0339,154364964.25,7121148.333333333,4672404.967032967
